,libfabric-version,arborx-version,cmake-version,kokkos-version,mpich-version
237uhyuyer6r7haowscod7min7tspnhf,2.0,2.0,67.0,5.0,0.0
24wjo4ljoajkusu7mkxqze5jqebjc7dh,0.0,2.0,36.0,7.0,12.0
277w6pcwaw6vri4mhvunr3zccbmlovvt,2.0,3.0,49.0,5.0,4.0
27bsjnfazx3bsrt3jmjnyod75be53ia4,0.0,2.0,36.0,5.0,11.0
27ejroc2okbxdknffov7akbyeegt4glq,2.0,2.0,45.0,3.0,0.0
2ci25esmbsekbetmoywjc6v4hygjlzfa,0.0,2.0,44.0,0.0,10.0
2e3okezs26ccfg7c4hfevn4xg6dh5jy7,2.0,2.0,41.0,6.0,1.0
2forbdvuakjd7evmcbkvaylgb2oyo5hh,2.0,2.0,45.0,7.0,3.0
2im5klm6bvva7ao7hxhrv5toge6srkr6,0.0,3.0,44.0,7.0,11.0
2ofydmukph3mw6b4de72tmavlmq7plia,2.0,2.0,68.0,6.0,4.0
2rmte72wg5vv5nyv5vfd2jujlmv2bvmt,2.0,1.0,28.0,4.0,2.0
36iiighun4css5uuqfe4iapcq3ybpyiv,1.0,2.0,36.0,1.0,6.0
3jmldfe3phvprknzmmihvhawrehm7bpr,0.0,3.0,60.0,4.0,10.0
3lkmio737trxqyzbztp2jntpgbq3o7fu,1.0,2.0,36.0,5.0,6.0
3mblz2ggirleunadvnuga5spgxuc5spi,0.0,1.0,62.0,5.0,9.0
3qflc5va6n47p3n4q74zxqojicbmvstq,2.0,3.0,34.0,4.0,4.0
3qpsssucs23xypv4z6lrp3wds4v5voki,0.0,2.0,29.0,1.0,14.0
3rb4wle36u5bkbtg5hky4pvwkih2hveh,0.0,1.0,65.0,1.0,8.0
3vbcm4ir5t6goj4ydeioxhqit7wkdiej,1.0,2.0,63.0,1.0,5.0
3vhrysaerqowrcfulqp5h3o6uzefxfup,0.0,1.0,26.0,1.0,7.0
3wnxbss2j3irxlsizoxsxkshwdjwbheu,0.0,2.0,62.0,4.0,14.0
4dtdnfmw7dp2qr5dvbjatlps2yw2icp2,1.0,2.0,59.0,4.0,6.0
