,tasmanian-version,libfabric-version,cmake-version,mpich-version
5h43vvzhqfkz2kws3pvpvd6fmayj53c4,3.0,2.0,73.0,0.0
5ibxkd55pj75g5of23l6kqkdmcornh3o,7.0,0.0,75.0,9.0
5jpmjzxwy3hlfmmtssfzdwuaopz5xqs4,0.0,0.0,29.0,7.0
5kvsuaecau34ekvn2e5gk3nfg5mgkkbs,6.0,2.0,67.0,3.0
5lyy26xjxfprpjsbarlfbvnggmw5kzqc,4.0,0.0,29.0,8.0
5mid44vztjwmuemem3jxl6lvki6r34ue,8.0,2.0,77.0,13.0
5pn3car2zea6j73ibe56qkupaurajcnr,8.0,1.0,38.0,5.0
5qkit4erv6ilwmdq27v2nq3ygnz5kvz2,1.0,0.0,73.0,7.0
5te2rpixn3t6c567l72cihbiegejjhih,3.0,2.0,51.0,3.0
5x2tibhevevfvycqml2azvip3b4tjxp5,5.0,0.0,26.0,9.0
5xfgfxcyfcp2w5wm3kvzdgkwlm2jj6ku,0.0,1.0,11.0,5.0
62dcxqxccpwg643nqbvtkthedyndlz2s,2.0,0.0,84.0,7.0
652bnj6af4xawpaqxzitval2vmpgngah,6.0,1.0,65.0,6.0
65h32xf3xkhqua42mre5kki6smbipvvi,6.0,1.0,60.0,5.0
6bzb2gwzcimfgndt7wxw4hhgf6xqxuqg,1.0,0.0,3.0,11.0
6c2l574kbgzuaer7zkh5bem6t6urx7bt,7.0,2.0,6.0,2.0
6ca3r2e72rtwd6hiuhxqk2pw242qrsdj,7.0,2.0,65.0,2.0
6dzta5dfwndxuswekz4w7hi62kxxx7dv,3.0,1.0,35.0,6.0
6e66vnk5kddvmnosifzgfiaiuoabmmnv,7.0,2.0,39.0,4.0
6euhly5bw22wdc4o5qq2fsqlaugbkwjo,4.0,1.0,48.0,6.0
6gqtquqicwqjv6k6u4jjkgzbideifjta,2.0,0.0,7.0,7.0
6h6ron3ok6euhsxirutaqlbn3rw2xu2w,3.0,0.0,66.0,8.0
6ha7ok2jrawrp267q2q3wokbfeoufmgn,3.0,0.0,72.0,10.0
6hr3h55h4msy4orhuga6sqxczykwauxe,6.0,2.0,56.0,3.0
6kov7hp776k7fvxsktksmoonr2fgiwfc,5.0,0.0,43.0,8.0
6l3suaclqqhyx6mrgnik3zaimjrr25w4,1.0,0.0,88.0,9.0
6lmt5ddx7wl6pjjwkkur7escds34edfn,7.0,0.0,16.0,11.0
6mhajdsj6df7caappwhw47diezzouqcn,8.0,0.0,26.0,7.0
6ptfg7lrgri3r7ohtecxxbjvwvxmz76u,4.0,1.0,20.0,5.0
6q4qbgkty5c6s7rrdqasfjnugytojye7,4.0,2.0,96.0,2.0
6qavxz3v6x5lujuy4vmpcjhzw4snnnmx,5.0,2.0,78.0,0.0
6rtbdo34ufufm6wmvfsilhgwfsnrbanr,8.0,2.0,52.0,2.0
6shg4zkohukget6iu4ahsvhfxcfto4ur,3.0,2.0,21.0,0.0
6typd5o5wsvolu3ppzfgjmykshvc3bcb,2.0,0.0,53.0,8.0
6wces342fdb6my5byjmn7yhy72swkxl4,1.0,2.0,22.0,0.0
6xsvzaioqnycjjovc5acgd55o4axm2fo,5.0,0.0,49.0,8.0
6zqtkf7hsfurr73e7fdg4l3vtwupihwl,4.0,2.0,68.0,3.0
72xw2l5dudpthq3zhlexxgxapynlvwbg,6.0,0.0,49.0,10.0
73gpyec2afdchbc7uqubnf6gxnhl2f5u,3.0,2.0,45.0,2.0
74icg54whjgh6shtmfkgiwaec5wr3dyr,6.0,2.0,25.0,13.0
7657t26funbdfj3jza5ppqcce62pq4qx,7.0,0.0,2.0,9.0
76wxr5x6laxqzckiwmhsyy6pt6qtmo6c,7.0,1.0,56.0,6.0
7aglehindloykzvxxs7w4rsbmn73biyf,8.0,0.0,21.0,7.0
7anxj4kblxwtbsrm7horz4vveqdpnzwq,2.0,2.0,82.0,3.0
7aywqo47ni7sckyjrpgv2ji3777ub6nv,5.0,2.0,47.0,2.0
7b6vzxxclq7lrg3iz4qvwkchwysjauxy,4.0,0.0,29.0,7.0
7eomuzc46pwp2qy3krpyonqec4yosef6,1.0,2.0,86.0,13.0
7ezyulngb6xfqgabsrg3u3kk6mrf5sqx,2.0,1.0,84.0,6.0
7fu5vgvofg3jogsged5efhlxyrahqo7v,3.0,0.0,20.0,12.0
7g64cwckg36segventcnyzwwzxqabjin,6.0,1.0,63.0,5.0
7hq274siwhkh6nk75cu4ui5aqwuk5mr7,6.0,0.0,15.0,10.0
7kbdnljgmrt2jyb22moafzrbhws577lz,1.0,2.0,7.0,2.0
7lfe7qsk6g25qz6a5ocqwa3ggl5ccg3k,6.0,0.0,38.0,8.0
7lqmkjq6zwz5kdb55cogxmjytlri4qrt,3.0,2.0,19.0,13.0
7n3ev4jathuhgdnupd6ekhagbfuyvtky,1.0,2.0,58.0,2.0
7oe3jzt7unrucpxmfjphn6q3f252uwjm,8.0,2.0,76.0,1.0
7sx7ph75onegxobiygginoeuw4ukg5zp,0.0,0.0,6.0,14.0
7szcfprksez6c5tfku42zehpu7d56ahp,1.0,2.0,53.0,0.0
7xslp5islu65pbxxxxzpe5v4vkejrfdu,5.0,0.0,77.0,14.0
7zmaa4eu2bdypxhrsdcbeg6rzo3dmmlk,6.0,0.0,42.0,9.0
a4bhepnyeyy7pvfrmjlkwsj3pqmcfo7y,7.0,0.0,45.0,12.0
a4fjt3dujbmq62rnqvjzzsnoaoucnkrw,4.0,2.0,33.0,1.0
a4u5dk763axojfeacgo7p32cfjio4bmk,7.0,1.0,42.0,5.0
a6xvgzqwws36cyuiaal5tndixhcwkatx,5.0,2.0,42.0,1.0
aavgxe26hombsqbvuefbgyxnphk7xgf4,1.0,0.0,33.0,9.0
ab5hawobox7c7we2ow3ybwojwysl5647,8.0,2.0,36.0,2.0
aik4dxsz5wk77o7ch5koy7a65wcw4kfg,7.0,0.0,26.0,9.0
al5ofyzf4wxi5g2gjyxsw6mzybha6pja,0.0,1.0,12.0,6.0
anbwdp4zbalacsgsgcpjsnjvbb4dspua,2.0,0.0,75.0,10.0
aqjyjtg6ayik7dpu532dr7rhkhebslt5,2.0,0.0,95.0,11.0
aqvkh2lktsx3il7ibyepc5tn66uvjiz4,8.0,0.0,39.0,12.0
areuypuzf2kczpsuhsdkekbf6prhcaig,3.0,0.0,43.0,12.0
at5qyyj4b54slkpwnztl23ldyznhfohh,7.0,2.0,51.0,0.0
atoozzauyjbmcxsumjicphkudpnwv5yh,3.0,1.0,39.0,5.0
atzcsncpzojnyxw6tegopmazd3hjpzmy,1.0,0.0,84.0,8.0
aujz37rgbzqbp4a5ny2tsotjqmq7a632,3.0,0.0,48.0,12.0
aukqze72qvuq2j4j264sg7aktbhlh6i7,3.0,2.0,22.0,3.0
auuvg7ldicssjhelteoeebpoamrkfxn3,1.0,0.0,25.0,12.0
azjwjrfa5ewv47rq3mciwddyvxc2ylk7,5.0,0.0,13.0,12.0
b5d4ket7fyzesohu5wxcwlshms3pk2jg,5.0,2.0,12.0,3.0
b5rqs3jswpv5auzbnj57vxst5l4goqvb,1.0,0.0,95.0,11.0
b624ejzdsu5xjelalav3adepinr4rqtc,6.0,0.0,66.0,14.0
b67ytmvwubj4hqv3uet24uws7eikqhsm,8.0,2.0,5.0,1.0
bcnkmnvtxd4uxbolmr63eerhrph5svfo,3.0,1.0,75.0,6.0
bdhkk7wwvjqpj2gsu56euj34blr4c5sq,8.0,0.0,55.0,11.0
bemz34aly7ic7cw7skbnpxt7vmrgsujs,4.0,0.0,50.0,12.0
bkzrox23xg7pa3owopshhwb4rs7fz522,2.0,0.0,91.0,10.0
blrm64c7zfnoxfeb3aisyq4lcon2avci,2.0,0.0,26.0,7.0
bned4p37ezicgbbrtzm372oqs4g2rfuo,3.0,0.0,14.0,10.0
bnyhwhlm2kwfobwa5oyydqagqpbaf4dg,4.0,0.0,43.0,14.0
boc3b6p7hyjlizkpz7mnco35qqtxng4e,8.0,2.0,52.0,13.0
bq66raety7ergdae2inx42iu523lk4gw,1.0,0.0,90.0,8.0
bq777tmor4er3wo6pon6x43a26jp6rg5,5.0,2.0,52.0,4.0
btfg627zqludrxtlh6di2rp24wlcq64f,2.0,2.0,53.0,3.0
bxucykbwaaml35vqlafjbxrhqjahwwua,2.0,0.0,71.0,10.0
bzo74a422mo6nuutkga5s3rv6qltkf4i,5.0,0.0,96.0,11.0
bzpugwnhr2w4bnk3nmdgb4gjqwbum2fp,1.0,2.0,77.0,3.0
c2dlv3k5jtoni6iu2lyxxtcaqu3s3qsa,2.0,0.0,47.0,7.0
c42ydejvn5bgoezqds46t6dzt3octqnb,6.0,2.0,60.0,4.0
c6yalmybhoa4og2mkpqdndgr7wfeizlo,3.0,2.0,50.0,1.0
c7ecliyz2nvmn4nn3cfi5ta3pu3vfi73,5.0,2.0,59.0,0.0
c7x6fmxbsudlxkyjecvag7uj2olwqrlc,4.0,2.0,52.0,13.0
ca67u6jissakbpkldam2cytlu6z7mijo,8.0,0.0,58.0,9.0
cb26q64n7ulxpsxfqhtanafk5vabzaid,4.0,2.0,12.0,13.0
cbfen5r6qkej32jjowqt3umymuck4g7d,2.0,2.0,82.0,13.0
cbtcgyj2gf6njvvfz6k56ppgugktqrlc,2.0,2.0,83.0,3.0
cc57w3vzmo6ekc75oyotiiyhsfno34i5,1.0,1.0,88.0,5.0
ccxjqqo2xsugoex6hscgx3ubfrdfvz5h,3.0,0.0,32.0,12.0
cdti3to67mnqxiwy6jvlgpcet4kvrxi4,0.0,2.0,65.0,0.0
cejmhgsvhrlyp4xdduyuzkrp7bljyvzk,2.0,2.0,40.0,1.0
cfw5pppethwylqixew5kvi355ll2jytz,1.0,0.0,94.0,7.0
cg5kpd4kl6yz7fqsk62srkrcxibgt43j,1.0,2.0,26.0,2.0
ci4zahcgxy7672dlpy3kpvedttyp4a3y,2.0,2.0,31.0,1.0
cigwdlw2ftwyu2fak7t434fx22qc6lfu,4.0,2.0,54.0,2.0
cjldhqbo3mtw3npfprelzdr3ajwbohgc,3.0,0.0,25.0,10.0
cqguj775ehm7lhmjya3nbgef75lxzoyp,0.0,0.0,87.0,10.0
cqx4j6l6sxeu6gykzfh7rzyvntog422g,6.0,2.0,72.0,4.0
ct3tivwc7uesvihcm442vyozbdp6rpnr,2.0,0.0,17.0,11.0
cvfqtxhgy7tytkznobrotrsanae2zaa3,8.0,0.0,41.0,8.0
cvorqj4uz36mgx4zfaxmcfuqj73obc7k,4.0,0.0,44.0,11.0
cwx6mfzu5cmiu4234pruwfs5ycaswway,0.0,0.0,35.0,7.0
cxkxeylyfyefpycmkiuhipg5kaycf4cw,0.0,0.0,16.0,7.0
d45kwpavhzqxyss4v6q7f4kc3byu5zxu,7.0,2.0,30.0,3.0
d4b27lnfk62olsxwfgnqn56o6bskgatg,2.0,0.0,89.0,10.0
d5osydzi3n2gtqshce5zgdrgiiilohzp,1.0,0.0,13.0,12.0
d6khofgzqdsioxy36qcctjia7etuah2u,8.0,0.0,35.0,11.0
d7c4halxqokej4b4moklmekcmx2umv6u,7.0,0.0,68.0,9.0
d7zy4a43xu7bglfksrshxi6swlyhggir,2.0,0.0,51.0,8.0
dajtikhkpdlurpq5uncrkivr4xtsyl2c,7.0,0.0,40.0,8.0
dbm3ter5r6ev72mxma65alj3bbw6clsh,3.0,2.0,76.0,3.0
dclnoxg5ini3dopijnxg5wlmtona2sxm,1.0,2.0,32.0,3.0
dcm75fjkglak7hn3kgdj2l2evnzky4ym,1.0,0.0,1.0,14.0
dcu7q5idza7pymjy2moqmcy54horxxo2,3.0,1.0,77.0,6.0
dg2eskwb7ftp7sxxdpokjqidtp4dsins,4.0,0.0,37.0,12.0
dg65o4rmilw73bogmo7annibm7nbhoaq,2.0,2.0,87.0,4.0
dj2nbyoks6kpdri25uhmvcwk44b5qbsj,1.0,2.0,34.0,1.0
dj6nubwim2hsglqybqecea4gceqydeo2,8.0,1.0,13.0,5.0
dkqrik2bsunqe43bm24e6ujbt4kpk2lx,2.0,2.0,59.0,1.0
dmd23vdu4tgjr7rmgmeqig3c7t5csywd,8.0,0.0,61.0,14.0
dmmrupqcookpkqkofswe5ck4bnmhvqvy,0.0,2.0,51.0,2.0
dopbtdgm6it7rl5cihyrgsrdvirea3ip,6.0,0.0,6.0,11.0
dose3d3fkk72h5bvoegmmn3t7hm772om,1.0,2.0,71.0,4.0
dp2ha37pfnoj5drippunyytnsuwd4dqk,6.0,2.0,26.0,0.0
dwlpqderw2wfh6cvzhqlpeegtqm42wmo,5.0,1.0,69.0,6.0
dzw4akj2n32qwvjbqwve377yfv6bmbkt,2.0,1.0,6.0,6.0
e2an6sgoimjsbiwqhe3shs6d7vq25o26,5.0,0.0,55.0,10.0
e3eaq3u4x4gm6wnc5flkglzmdn64env7,5.0,0.0,61.0,8.0
e3qtakfn5tzfnswf7ppmbc3wth7nph7c,7.0,1.0,96.0,6.0
e44qhly7cf5h4ox64ftylkwu6yreg4mc,3.0,1.0,78.0,5.0
eb6k22ict657zwltxgwoyf2yf674igjr,8.0,2.0,49.0,13.0
eecsvxxhnm7mrrcqh5vxjhvww2t2rwnf,6.0,2.0,58.0,3.0
egcnmxxrip7b4exicddebvrhk6krwxm2,2.0,2.0,26.0,4.0
ein5jvxd5qcs4c3reir5tklf7aqtgl4t,1.0,0.0,4.0,7.0
ejjo62uznk3dutoqv2dw6in7fard62mg,8.0,2.0,73.0,3.0
ektiy53dnctndrzeplglnugyybi2y4xf,6.0,0.0,37.0,7.0
eogtutfzkq745pcu2unno5rmqc5ian4e,8.0,2.0,57.0,13.0
epuzb42btsvydmfdpxkkxpr66eqspved,3.0,1.0,16.0,6.0
erzr7ovet2jcauczs3633plu6kyqtrel,4.0,1.0,58.0,5.0
et2dkuba3xdrfggnqjht7r77kkdvnufh,4.0,0.0,21.0,14.0
etwtvkto64rbtwg3v4uhyvt3v7mmgl7o,4.0,1.0,14.0,6.0
euazncoc67q27vqylkwzzypwtcpq3dqa,6.0,0.0,9.0,11.0
ew5oj5sibjx466yxb565myqhvz3yxhsf,6.0,2.0,16.0,2.0
eyvykiyj3cdyz4ajnqbotc6mhyzp3z5s,6.0,1.0,74.0,6.0
ezt6qkawsgma7tzv346l4cr6ng3x3o5f,4.0,0.0,62.0,10.0
f25bdipkar6gacrjkwnqv72ec2kxytxe,8.0,1.0,29.0,6.0
f56nbj3egpglynymbvkxrwc57ndx35r5,8.0,0.0,58.0,11.0
faihnevvuwg2mwlj2otfumhjfzyq4qry,0.0,1.0,59.0,6.0
fb7gv53vmjarmeamnvqjjzxnaizumhen,0.0,2.0,15.0,0.0
fbieume5x3oddetb7kijgjx37gq6im7z,2.0,0.0,70.0,8.0
fhnf3d2honthdqos7wiynhudqcegemwd,8.0,2.0,67.0,4.0
fhvdtcb24immas3aguxxqxvylv4rdfhn,3.0,0.0,13.0,14.0
fj2ny6nogxh2rzff77iejh3no5piuegv,0.0,2.0,34.0,0.0
fnfit4jrygl5is2cy4jjdhb6mwjytmyy,6.0,0.0,46.0,9.0
fo4bz7uxmobysbr2gczk5kpazhzyc7ad,0.0,2.0,75.0,4.0
frb25okzvc2gkoizk3orx3pfpfzbirtw,6.0,0.0,39.0,7.0
ft2sjpmujy4cwokxkep6xq3bp4qq6egx,0.0,0.0,37.0,12.0
ft6mkndt6g2p5uo52iebmf7tai4ani3k,6.0,2.0,32.0,3.0
ftehmnjmjwdjmymsl2yf3thwqwcnh5l6,7.0,1.0,25.0,5.0
ftf5pzhujcm3mx4dpddnhwk7u6adloh7,5.0,2.0,37.0,4.0
ftgpqjqy2ubl2nriqaajq6632kjd6eoi,6.0,0.0,58.0,14.0
fug4vd5txqxky2fsa5ghnbfqdjtbl3qn,6.0,2.0,30.0,3.0
fuvkj3el2u6hpxozh2mwcjaqfxq7a24x,8.0,2.0,64.0,4.0
fv6tdghljpkosmqj3e23l3utb5g2ustu,3.0,0.0,4.0,12.0
fwvhm6evcqsmsfxsuporfro23boy475l,8.0,2.0,28.0,0.0
fx22n4ebofengopb75btq6f5clt5tayq,3.0,1.0,54.0,5.0
g2vlfmo2a2io4kcbg7w6dj23q2xhcib7,2.0,2.0,64.0,0.0
g7jwqdly6hd2stfjau322cfpv5okqbxy,3.0,0.0,28.0,14.0
gf6tayo3l3pgbbom4tiokvzmnyzi5zut,6.0,2.0,37.0,2.0
gfa2i3s5basygt3iiubvssvldyyegn3h,2.0,1.0,20.0,5.0
gfdedgrzgmh62b2qoohjb4rxiidxf7ze,2.0,0.0,31.0,14.0
ggnrhqsewlckuhjy6uimpq7cdcx2rlmq,0.0,2.0,34.0,2.0
gjt6wohb4gtfitzdrgb5chs5t3ioreld,0.0,0.0,14.0,7.0
gnbs2cbwibzdhndy4tm2tmxgibghg65n,2.0,1.0,58.0,5.0
gpy34oxodzvbwi2gjhhruu4euiesxgqf,0.0,0.0,31.0,11.0
gqidznjlygvfdhetacv2wh34hswvf4vt,7.0,2.0,12.0,1.0
gujdaffhetnzxbhaivvjttp66yk3oinm,1.0,0.0,77.0,12.0
gvuusnkjsrnylw763kptlq7etcb334ms,6.0,0.0,51.0,12.0
gxvoukrebiazutebpbi7uwepwnscft54,4.0,1.0,16.0,5.0
gzq64fwgcpae7k76xravpnjl6hvpdajb,5.0,2.0,25.0,0.0
gzsfp5l3ptcsxxp2ebiqjn45uypo4ydi,3.0,1.0,14.0,5.0
gzx7ukqgfydk62ifsnjyhnfwq4jxh3vf,7.0,1.0,73.0,5.0
h4nkvc3kpyelycci7k4hgmfcwyxf2hic,4.0,0.0,64.0,7.0
h4skncwi6rjfrqp7dba2cfj4rnwtggde,6.0,0.0,46.0,7.0
h553tvth3y5n6x7qhujqk733mv5wr65h,6.0,2.0,48.0,4.0
h5d2vqxdbg7opbmfh6kbgr3u3b47o7sh,7.0,2.0,68.0,0.0
h6ip5lb3pd5ruchkyiyhi5rkppnreeqj,3.0,2.0,60.0,0.0
h6nxseg5ozhszse2k4xl33b4yq2d33pw,2.0,0.0,88.0,7.0
h7wn4eagxzwexp3ugv2hsydl5yigsouk,8.0,2.0,64.0,1.0
hcxfzirfz5pkzosjv474r3vovwcf52gl,2.0,2.0,53.0,0.0
hddsr7oveovmpq74e3nvppotqvqv2gjd,4.0,1.0,33.0,6.0
hdr655opdkhpzhuysy7juxksbnkry2vg,3.0,2.0,11.0,1.0
he7htzqkygu4tfdmqp4q4adkc7zb2bzq,8.0,2.0,41.0,4.0
heqj2awwpy2d35cw4kosiyk3foagk3sr,2.0,2.0,89.0,0.0
hfsqrz67n3b6wxqpiube6knhgprm33gl,1.0,0.0,62.0,10.0
hgo6hinloonsdkdcn3xdzba6qtsxbibb,4.0,2.0,6.0,2.0
hi2t2uou4piwkxrb3jtahq77hsglpivg,5.0,0.0,18.0,10.0
hi4akhzztmmrfvgdk6uhmqzf5rthv6ou,7.0,2.0,28.0,1.0
hj5arlq265z6lqz26uk2upahg4z45jar,4.0,0.0,25.0,10.0
hjqvgfnw7vudcfssytrpub7fylskhvu6,7.0,0.0,13.0,8.0
hjzw757wsetbwccmwxq7wf5py66xn5gg,1.0,0.0,16.0,9.0
hksyslkj7a5ftndyqoufamfvn6zvurib,2.0,0.0,16.0,10.0
hmgdclwcovqtl4zyyzhbg6qaj27vdhgr,4.0,0.0,63.0,12.0
hn7554qxacaexq4w72nmxtgmk2etltmy,0.0,2.0,62.0,0.0
hoi2ayeb546r2y4gmspe2ib62rohobvx,1.0,0.0,23.0,9.0
hp62ceespbp43clxupzioznqhdoi2xus,6.0,0.0,38.0,11.0
hprxr3ffdwlhqmwlneveamzqb7crqe4n,1.0,2.0,31.0,4.0
hwjlyvldvakwazupadx3mytdrhksapdp,6.0,0.0,60.0,7.0
hxpul7glt7j4at5urxesezd25na3zsyk,1.0,0.0,22.0,10.0
i5hbmms2tdznqgmfcvbfsipbh426z52l,5.0,2.0,51.0,13.0
i7z6534mqfre55fwdmpu6s7l33h2tqyg,3.0,0.0,18.0,9.0
ibp2m3p6lrxic46cvzk4nkolze2lmkoc,6.0,0.0,59.0,11.0
ibrjdcpdt3b7z3ggiyr5tpkxadppde7z,2.0,0.0,56.0,14.0
iddq5e4zh5rdtnys7oh522y64vje74ye,3.0,1.0,4.0,6.0
iedbazjn2hpwi5lfdk5lomxij7ycuzmt,0.0,2.0,10.0,4.0
iepohpxdcd2aujifqwyychvqb2ikxolm,8.0,0.0,69.0,7.0
iluz6qkputpksvq2v34luygt37mc2bzs,8.0,0.0,67.0,10.0
imupipealbeaxytdqu74a4ug363ld2wu,0.0,0.0,52.0,12.0
inhjnttgkiefgms6fenxa35jupzlmfho,0.0,2.0,21.0,2.0
io5tsuimzdczoedwvb4tstpsmd477qyz,4.0,0.0,63.0,8.0
ioeffgvolkyj73doar2pjk453tkiviw3,4.0,2.0,57.0,2.0
ip74wppvqfmk7pzbc7wpyjy5o2bodvi2,7.0,0.0,76.0,10.0
isczs6k3palc3dgt2hcwqhwvpzjnd5z3,1.0,0.0,42.0,12.0
itmm3gpoahyrionbu54yx4czmkcp4epl,2.0,2.0,44.0,3.0
ito2s7unonmbplpseqj754jamr65lid5,5.0,0.0,16.0,8.0
j2koi7rwjypf5q72qiqrsi4tp6h25fww,6.0,2.0,57.0,13.0
j3p3wjs7kds6vqbdxwiqnsg72bvyf73y,5.0,2.0,32.0,4.0
j3ugzdoh6n5pluf4ey57vx7wcdzfetyk,1.0,2.0,38.0,1.0
